"scope","var"
"process.env","AAD_AUDIENCE"
"process.env","AAD_ISSUER"
"process.env","AAD_REQUIRED"
"process.env","ADMIN_KEY"
"process.env","AGENTS_TRIGGER_URL"
"process.env","AI_ROUTER_API_KEY"
"process.env","AI_ROUTER_BASE_URL"
"process.env","ALERT_EMAIL_RECIPIENTS"
"process.env","ALERT_SMS_RECIPIENTS"
"process.env","ALERT_WEBHOOK_TOKEN"
"process.env","ALERT_WEBHOOK_URL"
"process.env","ALLOWED_ORIGINS"
"process.env","ALPHA_VANTAGE_API_KEY"
"process.env","ANTHROPIC_API_KEY"
"process.env","API_BASE_URL"
"process.env","API_HMAC_SECRET"
"process.env","API_HOST"
"process.env","API_KEY"
"process.env","API_PORT"
"process.env","API_URL"
"process.env","APNS_BUNDLE_ID"
"process.env","APNS_KEY_ID"
"process.env","APNS_PRIVATE_KEY"
"process.env","APNS_TEAM_ID"
"process.env","APPLICATIONINSIGHTS_CONNECTION_STRING"
"process.env","AUTH_REQUIRED"
"process.env","AZURE_CLIENT_ID"
"process.env","AZURE_OPENAI_API_ENDPOINT"
"process.env","AZURE_OPENAI_API_KEY"
"process.env","AZURE_OPENAI_API_VERSION"
"process.env","AZURE_OPENAI_CHAT_DEPLOYMENT"
"process.env","AZURE_OPENAI_DEFAULT_MODEL"
"process.env","AZURE_OPENAI_ENDPOINT"
"process.env","AZURE_OPENAI_IMAGE_DEPLOYMENT"
"process.env","AZURE_OPENAI_KEY"
"process.env","AZURE_SPEECH_KEY"
"process.env","AZURE_SPEECH_REGION"
"process.env","AZURE_STORAGE_ACCOUNT"
"process.env","AZURE_STORAGE_KEY"
"process.env","BACKUP_ENCRYPTION_KEY"
"process.env","BASE_URL"
"process.env","BING_SEARCH_API_KEY"
"process.env","CACHE_COMPRESSION"
"process.env","CACHE_MAX_SIZE"
"process.env","CACHE_TTL"
"process.env","CHAOS_ENABLED"
"process.env","CHAOS_ERR_PROB"
"process.env","CHAOS_FAULT_RATE"
"process.env","CHAOS_LAT_MAX"
"process.env","CHAOS_LAT_MIN"
"process.env","CHAOS_LAT_PROB"
"process.env","CI"
"process.env","CI_BUILD_OK"
"process.env","CI_TESTS_OK"
"process.env","COMPRESSION_LEVEL"
"process.env","CORS_ALLOWED_ORIGINS"
"process.env","CSRF_SECRET"
"process.env","DATABASE_URL"
"process.env","DATA_ENCRYPTION_KEY"
"process.env","DB_CONNECTION_TIMEOUT"
"process.env","DB_HOST"
"process.env","DB_IDLE_TIMEOUT"
"process.env","DB_MAX_CONNECTIONS"
"process.env","DB_MIN_CONNECTIONS"
"process.env","DB_NAME"
"process.env","DB_PASSWORD"
"process.env","DB_PORT"
"process.env","DB_QUERY_TIMEOUT"
"process.env","DB_SSL"
"process.env","DB_USER"
"process.env","DEFAULT_ORG"
"process.env","DEPLOY_ENABLED"
"process.env","ECONEURA_API_KEY"
"process.env","ECONEURA_API_URL"
"process.env","ENABLE_CACHE"
"process.env","ENABLE_COMPRESSION"
"process.env","ENABLE_METRICS"
"process.env","FEDEX_API_KEY"
"process.env","FINOPS_CFG_PATH"
"process.env","FINOPS_KILL_PATH"
"process.env","FIREBASE_PROJECT_ID"
"process.env","FIREBASE_SERVER_KEY"
"process.env","GITHUB_ACTIONS"
"process.env","GITHUB_REPOSITORY"
"process.env","GITHUB_SHA"
"process.env","GITHUB_STEP_SUMMARY"
"process.env","GITHUB_TOKEN"
"process.env","GOOGLE_AI_API_KEY"
"process.env","GOOGLE_SEARCH_API_KEY"
"process.env","GOOGLE_SEARCH_CX"
"process.env","GRAPH_ACCESS_TOKEN"
"process.env","GRAPH_CHAOS_ENABLED"
"process.env","GRAPH_CHAOS_FAILURE_RATE"
"process.env","GRAPH_CHAOS_LATENCY_MAX"
"process.env","GRAPH_CHAOS_LATENCY_MIN"
"process.env","GRAPH_CHAOS_ROTATION_INTERVAL"
"process.env","GRAPH_CHAOS_SIMULATION_MODE"
"process.env","GRAPH_NOTIFICATION_URL"
"process.env","HEALTH_PATH"
"process.env","HOSTNAME"
"process.env","JWKS_URI"
"process.env","JWT_REFRESH_SECRET"
"process.env","JWT_SECRET"
"process.env","K6_BASE_URL"
"process.env","LOG_LEVEL"
"process.env","MAKE_API_KEY"
